Category,Test Name,Test Description,Units,Gender,Min Reference Range,Max Reference Range,Age Min,Min Age Unit,Age Max,Max Age Unit,Remarks,ReportJson,ReferenceRanges
HAEMATOLOGY,ABSOLUTE LYMPHOCYTE COUNT,ABSOLUTE LYMPHOCYTE COUNT,per microlitre,M/F,1000,4800,0,YEARS,100,YEARS,,,
HAEMATOLOGY,ABSOLUTE NEUTROPHIL COUNT,ABSOLUTE NEUTROPHIL COUNT,Cells/Cumm,M/F,2000,7000,0,YEARS,100,YEARS,,,
HAEMATOLOGY,ACTIVE PARTIAL THROMBOPLASTIN TIME (APTT),ACTIVE PARTIAL THROMBOPLASTIN TIME (APTT),seconds,M/F,22,34,0,YEARS,100,YEARS,,,
HAEMATOLOGY,AEC,EOSINOPHIL COUNT,cells/cumm,M/F,40,400,0,YEARS,100,YEARS,,,
HAEMATOLOGY,AEC,TOTAL COUNT,cells/cumm,M/F,4000,11000,0,YEARS,100,YEARS,,,
HAEMATOLOGY,AEC,ABSOLUTE EOSINOPHIL COUNT,cells/cumm,M/F,40,400,0,YEARS,100,YEARS,,,
HAEMATOLOGY,ANTI MULLERIAN HORMONE(AMH),ANTI MULLERIAN HORMONE/MULLERIAN INHIBITING SUBSTANCE,ng/mL,M/F,2.02,6.7,0,YEARS,100,YEARS,,,
HAEMATOLOGY,BLOOD GROUP & RH TYPE,DROPDOWN,N/A,M/F,,,0,YEARS,100,YEARS,,,
HAEMATOLOGY,BLOOD PICTURE,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,,,
HAEMATOLOGY,BONE MARROW,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,,,
HAEMATOLOGY,BT,BLEEDING TIME,min,M/F,2,6,0,YEARS,100,YEARS,,,
HAEMATOLOGY,"BT, CT",BLEEDING TIME,min,M/F,2,6,0,YEARS,100,YEARS,,,
HAEMATOLOGY,CA-19.9,CA-19.9,U/mL,M/F,0,37,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),HAEMOGLOBIN,gm/dl,M,13.5,18,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),HAEMOGLOBIN,gm/dl,F,12,16,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),TOTAL COUNT/ W.B.C,cells/cumm,M/F,4000,11000,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),NEUTROPHILS,%,M/F,40,70,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),LYMPHOCYTES,%,M/F,20,40,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),EOSINOPHILS,%,M/F,0,8,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),MONOCYTES,%,M/F,0,10,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),BASOPHILS,%,M/F,0,1,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),PLATELET COUNT,Lakhs/cumm,M/F,1.5,4.5,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),R.B.C,mill/cumm,M/F,3.5,5.5,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),P.C.V,%,M/F,36,48,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),M.C.V,fl,M/F,80,99,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),M.C.H,pg,M/F,26,32,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE BLOOD COUNT (CBC),M.C.H.C,%,M/F,32,36,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE HAEMOGRAM,HAEMOGLOBIN,gm/dl,M,13.5,18,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE HAEMOGRAM,HAEMOGLOBIN,gm/dl,F,12,16,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE HAEMOGRAM,ESR,mm/hr,M,0,12,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE HAEMOGRAM,ESR,mm/hr,F,0,20,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE HAEMOGRAM,TOTAL W.B.C,cells/cumm,M/F,4000,11000,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE HAEMOGRAM,NEUTROPHILS,%,M/F,40,70,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE HAEMOGRAM,LYMPHOCYTES,%,M/F,20,40,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE HAEMOGRAM,EOSINOPHILS,%,M/F,0,8,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE HAEMOGRAM,MONOCYTES,%,M/F,0,10,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE HAEMOGRAM,BASOPHILS,%,M/F,0,1,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE HAEMOGRAM,R.B.C,mill/cumm,M/F,3.5,5.5,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE HAEMOGRAM,PLATELET COUNT,Lakhs/cumm,M/F,1.5,4.5,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE HAEMOGRAM,P.C.V,%,M/F,36,48,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE HAEMOGRAM,M.C.V,fl,M/F,80,99,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE HAEMOGRAM,M.C.H,pg,M/F,26,32,0,YEARS,100,YEARS,,,
HAEMATOLOGY,COMPLETE HAEMOGRAM,M.C.H.C,%,M/F,32,36,0,YEARS,100,YEARS,,,
HAEMATOLOGY,CROSS MATCH WHOLE BLOOD/PACKED,DROPDOWN-COMPATIBLE/INCOMPATIBLE,N/A,M/F,,,0,YEARS,100,YEARS,,,
HAEMATOLOGY,CT,CLOTTING TIME,N/A,M/F,4,7,0,YEARS,100,YEARS,,,
HAEMATOLOGY,DC,NEUTROPHILS,%,M/F,40,70,0,YEARS,100,YEARS,,,
HAEMATOLOGY,DC,LYMPHOCYTES,%,M/F,20,40,0,YEARS,100,YEARS,,,
HAEMATOLOGY,DC,EOSINOPHILS,%,M/F,0,8,0,YEARS,100,YEARS,,,
HAEMATOLOGY,DC,MONOCYTES,%,M/F,0,10,0,YEARS,100,YEARS,,,
HAEMATOLOGY,DC,BASOPHILS,%,M/F,0,1,0,YEARS,100,YEARS,,,
HAEMATOLOGY,DENGUE IGG & IGM,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,,,
HAEMATOLOGY,"DENGUE PROFILE (IgG, IgM & Ns1Ag)",DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,,,
HAEMATOLOGY,ESR,ESR,mm/hr,M,0,9,0,YEARS,100,YEARS,,,
HAEMATOLOGY,ESR,ESR,mm/hr,F,0,20,0,YEARS,100,YEARS,,,
HAEMATOLOGY,HAEMOGLOBIN (Hb),HAEMOGLOBIN,gm/dl,M,13.5,18,0,YEARS,100,YEARS,,,
HAEMATOLOGY,HAEMOGLOBIN (Hb),HAEMOGLOBIN,gm/dl,F,12,16,0,YEARS,100,YEARS,,,
HAEMATOLOGY,"HB,TC,DC,ESR",HAEMOGLOBIN,gm/dl,M,13.5,18,0,YEARS,100,YEARS,,,
HAEMATOLOGY,"HB,TC,DC,ESR",HAEMOGLOBIN,gm/dl,F,12,16,0,YEARS,100,YEARS,,,
HAEMATOLOGY,"HB,TC,DC,ESR",ESR,mm/hr,M,0,12,0,YEARS,100,YEARS,,,
HAEMATOLOGY,"HB,TC,DC,ESR",ESR,mm/hr,F,0,20,0,YEARS,100,YEARS,,,
HAEMATOLOGY,"HB,TC,DC,ESR",TOTAL W.B.C,cells/cumm,M/F,4000,11000,0,YEARS,100,YEARS,,,
HAEMATOLOGY,"HB,TC,DC,ESR",NEUTROPHILS,%,M/F,40,70,0,YEARS,100,YEARS,,,
HAEMATOLOGY,"HB,TC,DC,ESR",LYMPHOCYTES,%,M/F,20,40,0,YEARS,100,YEARS,,,
HAEMATOLOGY,"HB,TC,DC,ESR",EOSINOPHILS,%,M/F,0,8,0,YEARS,100,YEARS,,,
HAEMATOLOGY,"HB,TC,DC,ESR",MONOCYTES,%,M/F,0,10,0,YEARS,100,YEARS,,,
HAEMATOLOGY,"HB,TC,DC,ESR",BASOPHILS,%,M/F,0,1,0,YEARS,100,YEARS,,,
HAEMATOLOGY,HBEAG,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,,,
HAEMATOLOGY,ICT / DCT,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,,,
HAEMATOLOGY,LE CELL,DROPDOWN-PRESENT/ABSENT,N/A,M/F,,,0,YEARS,100,YEARS,,,
HAEMATOLOGY,LEPTO IgG & IgM,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,,,
HAEMATOLOGY,LEPTOSPIROSIS IgM,DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,,,
HAEMATOLOGY,MALARIAL PARASITE (CARD TEST),DROPDOWN-PRESENT/ABSENT,N/A,M/F,,,0,YEARS,100,YEARS,,,
HAEMATOLOGY,MALARIAL PARASITES SMEAR,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,,,
HAEMATOLOGY,MANTOUX (PPD),DROPDOWN-REACTIVE/NONREACTIVE,N/A,M/F,,,0,YEARS,100,YEARS,,,
HAEMATOLOGY,MCH,M.C.H,pg,M/F,24,39,0,YEARS,100,YEARS,,,"[{""Gender"": ""M/F"",""AgeMin"": 18,""AgeMinUnit"": ""YEARS"",""AgeMax"": 100,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""26 - 34 pg""},{""Gender"": ""M/F"",""AgeMin"": 0,""AgeMinUnit"": ""MONTHS"",""AgeMax"": 1,""AgeMaxUnit"": ""MONTHS"",""ReferenceRange"": ""33 - 39 pg""},{""Gender"": ""M/F"",""AgeMin"": 1,""AgeMinUnit"": ""YEARS"",""AgeMax"": 2,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""24 - 30 pg""},{""Gender"": ""M/F"",""AgeMin"": 2,""AgeMinUnit"": ""YEARS"",""AgeMax"": 10,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""25 - 31 pg""},{""Gender"": ""M/F"",""AgeMin"": 10,""AgeMinUnit"": ""YEARS"",""AgeMax"": 17,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""26 - 32 pg""}]"
HAEMATOLOGY,MCHC,M.C.H.C,%,M/F,31,38,0,YEARS,100,YEARS,,,------
HAEMATOLOGY,MCV,M.C.V,fl,M/F,72,120,0,YEARS,100,YEARS,,,"[{""Gender"": ""M/F"",""AgeMin"": 0,""AgeMinUnit"": ""MONTHS"",""AgeMax"": 1,""AgeMaxUnit"": ""MONTHS"",""ReferenceRange"": ""100 - 120 fl""},{""Gender"": ""M/F"",""AgeMin"": 1,""AgeMinUnit"": ""MONTHS"",""AgeMax"": 1,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""90 - 100 fl""},{""Gender"": ""M/F"",""AgeMin"": 1,""AgeMinUnit"": ""YEARS"",""AgeMax"": 2,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""72 - 88 fl""},{""Gender"": ""M/F"",""AgeMin"": 2,""AgeMinUnit"": ""YEARS"",""AgeMax"": 10,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""76 - 90 fl""},{""Gender"": ""M/F"",""AgeMin"": 10,""AgeMinUnit"": ""YEARS"",""AgeMax"": 17,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""78 - 95 fl""},{""Gender"": ""M/F"",""AgeMin"": 18,""AgeMinUnit"": ""YEARS"",""AgeMax"": 100,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""80 - 98 fl""}]"
HAEMATOLOGY,MICROFILARIAE (QBC),DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,,,------
HAEMATOLOGY,MP (QBC),DROPDOWN-POSITIVE/NEGATIVE,N/A,M/F,,,0,YEARS,100,YEARS,,,------
HAEMATOLOGY,PACKED CELL VOLUME (PCV),PACKED CELL VOLUME (PCV),%,M/F,32,68,0,YEARS,100,YEARS,,,"[{""Gender"": ""M"",""AgeMin"": 10,""AgeMinUnit"": ""YEARS"",""AgeMax"": 17,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""36 - 47 %""},{""Gender"": ""F"",""AgeMin"": 10,""AgeMinUnit"": ""YEARS"",""AgeMax"": 17,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""35 - 45 %""},{""Gender"": ""M/F"",""AgeMin"": 18,""AgeMinUnit"": ""YEARS"",""AgeMax"": 100,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""37 - 47 %""},{""Gender"": ""M/F"",""AgeMin"": 0,""AgeMinUnit"": ""MONTHS"",""AgeMax"": 1,""AgeMaxUnit"": ""MONTHS"",""ReferenceRange"": ""44 - 68 %""},{""Gender"": ""M/F"",""AgeMin"": 1,""AgeMinUnit"": ""MONTHS"",""AgeMax"": 1,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""44 - 55 %""},{""Gender"": ""M/F"",""AgeMin"": 1,""AgeMinUnit"": ""YEARS"",""AgeMax"": 2,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""32 - 42 %""},{""Gender"": ""M/F"",""AgeMin"": 2,""AgeMinUnit"": ""YEARS"",""AgeMax"": 10,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""33 - 45 %""}]"
HAEMATOLOGY,PERIPHERAL SMEAR,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,,,
HAEMATOLOGY,PLASMA FIBRIDOGEN LEVEL,PLASMA FIBRIDOGEN LEVEL,ng/dl,M/F,200,400,0,YEARS,100,YEARS,,,
HAEMATOLOGY,PLATELET COUNT,PLATELET COUNT,Lakhs/cumm,M/F,1.5,4.5,0,YEARS,100,YEARS,,,
HAEMATOLOGY,PT,TEST,Seconds,M/F,11,17,0,YEARS,100,YEARS,,,
HAEMATOLOGY,RBC COUNT,R.B.C COUNT,mill/cumm,M,4.5,6.2,0,YEARS,100,YEARS,,,
HAEMATOLOGY,RBC COUNT,R.B.C COUNT,mill/cumm,F,4,5.5,0,YEARS,100,YEARS,,,
HAEMATOLOGY,RETICULOCYTE COUNT,RETICULOCYTES,cells/cumm,M/F,0.2,6,0,YEARS,100,YEARS,,,"[{""Gender"": ""M/F"",""AgeMin"": 0,""AgeMinUnit"": ""MONTHS"",""AgeMax"": 1,""AgeMaxUnit"": ""MONTHS"",""ReferenceRange"": ""2 - 6 cells/cumm""},{""Gender"": ""M/F"",""AgeMin"": 1,""AgeMinUnit"": ""MONTHS"",""AgeMax"": 6,""AgeMaxUnit"": ""MONTHS"",""ReferenceRange"": ""0.3 - 1 cells/cumm""},{""Gender"": ""M/F"",""AgeMin"": 6,""AgeMinUnit"": ""MONTHS"",""AgeMax"": 100,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""0.2 - 1 cells/cumm""}]"
HAEMATOLOGY,SMEAR FOR MICROFILARIAE,DESCRIPTION,N/A,M/F,,,0,YEARS,100,YEARS,,,
HAEMATOLOGY,"TC, DC",TOTAL COUNT,cells/cumm,M/F,4000,11000,0,YEARS,100,YEARS,,,
HAEMATOLOGY,"TC, DC",NEUTROPHILS,%,M/F,40,70,0,YEARS,100,YEARS,,,
HAEMATOLOGY,"TC, DC",LYMPHOCYTES,%,M/F,20,40,0,YEARS,100,YEARS,,,
HAEMATOLOGY,"TC, DC",EOSINOPHILS,%,M/F,0,8,0,YEARS,100,YEARS,,,
HAEMATOLOGY,"TC, DC",MONOCYTES,%,M/F,0,10,0,YEARS,100,YEARS,,,
HAEMATOLOGY,"TC, DC",BASOPHILS,%,M/F,0,1,0,YEARS,100,YEARS,,,
HAEMATOLOGY,TOTAL LEUCOCYTE COUNT (TLC),LEUCOCYTE COUNT,cells/cum,M/F,4000,11000,0,YEARS,100,YEARS,,,
HAEMATOLOGY,FERRITIN,SERUM FERRITIN,ng/ml,M/F,10,29,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,17- HYDROXY PROGESTERONE,HYDROXY PROGESTERONE,ng/dL,M,27,199,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,17- HYDROXY PROGESTERONE,FOLLICULAR,ng/dL,F,15,70,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,17- HYDROXY PROGESTERONE,LUTEAL,ng/dL,F,35,290,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,17-HYDROXY CORTICOSTEROIDS IN URINE,DROPDOWN-PRESENT/ABSENT,N/A,M/F,,,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,17-KETOGENIC STEROIDS (URINE),DROPDOWN-PRESENT/ABSENT,N/A,M/F,,,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,24 HOURS URINARY CALCIUM,24 HOURS URINARY CALCIUM,mg/day,M/F,100,300,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,A/G RATIO,A/G RATIO,N/A,M/F,1,1.5,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,ADENOSINE DEAMINASSE (ADA)SERUM,ADA,U/L,M/F,0,40,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,ALBUMIN,SERUM ALBUMIN,g/dl,M/F,3.5,5.2,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,ALKALINE PHOSPHATASE (ALP),ALKALINE PHOSPHATASE,IU/L,M/F,0,462,0,YEARS,100,YEARS,,,"[{""Gender"": ""M"",""AgeMin"": 13,""AgeMinUnit"": ""YEARS"",""AgeMax"": 17,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""0 - 390 IU/L""},{""Gender"": ""F"",""AgeMin"": 13,""AgeMinUnit"": ""YEARS"",""AgeMax"": 17,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""0 - 187 IU/L""},{""Gender"": ""M/F"",""AgeMin"": 18,""AgeMinUnit"": ""YEARS"",""AgeMax"": 100,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""25 - 147 IU/L""},{""Gender"": ""M/F"",""AgeMin"": 0,""AgeMinUnit"": ""MONTHS"",""AgeMax"": 1,""AgeMaxUnit"": ""MONTHS"",""ReferenceRange"": ""0 - 250 IU/L""},{""Gender"": ""M/F"",""AgeMin"": 1,""AgeMinUnit"": ""MONTHS"",""AgeMax"": 6,""AgeMaxUnit"": ""MONTHS"",""ReferenceRange"": ""0 - 449 IU/L""},{""Gender"": ""M/F"",""AgeMin"": 6,""AgeMinUnit"": ""MONTHS"",""AgeMax"": 1,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""0 - 462 IU/L""},{""Gender"": ""M/F"",""AgeMin"": 1,""AgeMinUnit"": ""YEARS"",""AgeMax"": 3,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""0 - 281 IU/L""},{""Gender"": ""M/F"",""AgeMin"": 4,""AgeMinUnit"": ""YEARS"",""AgeMax"": 6,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""0 - 269 IU/L""},{""Gender"": ""M/F"",""AgeMin"": 6,""AgeMinUnit"": ""YEARS"",""AgeMax"": 13,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""0 - 300 IU/L""}]"
BIOCHEMISTRY,AMMONIA,AMMONIA,µmol/L,M/F,11,86,0,YEARS,100,YEARS,,,"-[{""Gender"": ""M/F"",""AgeMin"": 1,""AgeMinUnit"": ""DAYS"",""AgeMax"": 1,""AgeMaxUnit"": ""MONTHS"",""ReferenceRange"": ""21 - 86 µmol/L""},{""Gender"": ""M/F"",""AgeMin"": 1,""AgeMinUnit"": ""MONTHS"",""AgeMax"": 1,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""16 - 47 µmol/L""},{""Gender"": ""M/F"",""AgeMin"": 1,""AgeMinUnit"": ""YEARS"",""AgeMax"": 100,""AgeMaxUnit"": ""YEARS"",""ReferenceRange"": ""11 - 35 µmol/L""}]"
BIOCHEMISTRY,ANTISTREPTOLYSIN O,ANTISTREPTOLYSIN O,IU/mL,M/F,0,200,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,BICARBONATE,BICARBONATE,mmol/L,M/F,21,29,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,BLOOD ALCOHOL LEVEL,BLOOD ALCOHOL LEVEL,mg/dL,M/F,0,10,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,BLOOD SUGAR (FBS/PPBS),FASTING BLOOD SUGAR,mg/dl,M/F,70,110,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,BLOOD SUGAR (FBS/PPBS),POST PRANDIAL BLOOD SUGAR,mg/dl,M/F,110,140,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,BLOOD UREA,BLOOD UREA,mg/dL,M/F,10,50,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,BUN,BLOOD UREA NITROGEN,mg/dl,M/F,5,21,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,C - PEPTIDE,C-PEPTIDE,ng/mL,M/F,1.1,5,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,CARDIAC ENZYME PROFILE,CK,U/L,M,55,170,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,CARDIAC ENZYME PROFILE,CK,U/L,F,30,135,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,CARDIAC ENZYME PROFILE,CK-MB,ng/mL,M/F,0,6,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,CARDIAC ENZYME PROFILE,TROPONIN I,ng/mL,M/F,0,0.04,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,CARDIAC ENZYME PROFILE,LDH,U/L,M/F,140,280,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,CARDIAC ENZYME PROFILE,AST,U/L,M/F,10,40,0,YEARS,100,YEARS,,,
BIOCHEMISTRY,CARDIAC ENZYME PROFILE,MYOGLOBIN,ng/mL,M,25,72,0,YEARS,100,YEARS,,,
